id,doi,display_name,publication_year,type,cited_by_count,open_access__oa_status,host_venue__display_name,primary_location__source__display_name,primary_topic__display_name,primary_topic__field__display_name,primary_topic__subfield__display_name,biblio__volume,biblio__issue,biblio__first_page,biblio__last_page,fwci,authors,institutions,concepts_list,author_name,author_openalex_id
https://openalex.org/W4225605514,https://doi.org/10.3138/jvme-2021-0130,Actualizing Cultural Humility: An Exploratory Study of Veterinary Students’ Participation in a Northern Community Health Rotation,2022,article,9,bronze,,Journal of Veterinary Medical Education,Cultural Competency in Health Care,Social Sciences,Sociology and Political Science,50,2,205,216,3.175,Cindy L. Adams; Jean E. Wallace; Susan Kutz; Tacia Tsimaras; Tessa Baker,University of Calgary,Biology; Cultural competence; Cultural humility; Ecology; Exploratory research; Health care; Humility; Indigenous; Law; Medical education; Medicine; Nursing; Pedagogy; Political science; Psychology; Public relations; Social science; Sociology,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W3118673615,https://doi.org/10.3138/jvme-2019-0074,What Do Veterinary Students Value about Service Learning? Insights from Subsidized Clinics in an Urban Environment,2021,article,11,closed,,Journal of Veterinary Medical Education,Service-Learning and Community Engagement,Social Sciences,Education,48,4,477,484,4.098,Cindy L. Adams; Kimberly M. Van Patten; Melanie Rock; Serge Chalhoub; Tessa Baker,,Communication skills; Demographics; Demography; Economic growth; Economics; Economy; Family medicine; Geometry; Graduation (instrument); Health care; Law; Mathematics; Medical education; Medicine; Outreach; Pedagogy; Political science; Psychology; Service (business); Service-learning; Sociology,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4280539931,https://doi.org/10.3390/ani12101282,"Animal Protection, Law Enforcement, and Occupational Health: Qualitative Action Research Highlights the Urgency of Relational Coordination in a Medico-Legal Borderland",2022,article,7,gold,,Animals,Human-Animal Interaction Studies,"Biochemistry, Genetics and Molecular Biology",Genetics,12,10,1282,1282,1.216,Cindy L. Adams; Dawn Rault; Jane Springett; Melanie Rock,Simon Fraser University; University of Alberta; University of Calgary,Action (physics); Business; Criminology; Enforcement; Law; Law enforcement; Legal action; Physics; Political science; Qualitative research; Quantum mechanics; Social science; Sociology,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4205190113,https://doi.org/10.3168/jds.2021-20677,Communication skills training and assessment of food animal production medicine veterinarians: A component of a voluntary Johne's disease control program,2022,article,6,gold,,Journal of Dairy Science,Veterinary Practice and Education Studies,Health Professions,Speech and Hearing,105,3,2487,2498,1.851,Cindy L. Adams; Darcy H. Shaw; Elpida Artemiou; Greg Keefe; John VanLeeuwen; Karen A. MacDonald-Phillips; Shawn McKenna,Ross University School of Veterinary Medicine; University of Calgary; University of Prince Edward Island,Communication skills; Communication skills training; Economics; Intervention (counseling); Management; Medical education; Medicine; Nursing; Turnover; Veterinary medicine,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4404552752,https://doi.org/10.3389/fanim.2024.1429323,Caring for calves: Canadian public perspectives of calf handling methods during spring processing,2024,article,1,gold,,Frontiers in Animal Science,Animal Behavior and Welfare Studies,Veterinary,Small Animals,5,,,,0.968,Christy Goldhawk; Cindy L. Adams; Ed Pajor,University of Calgary,Animal science; Biology; Engineering; Mechanical engineering; Spring (device),A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4310570867,https://doi.org/10.1089/jpm.2022.0053,A Statewide Survey to Understand Barriers to Utilization of the Medical Orders for Scope of Treatment Form among Emergency Medical Service Providers,2022,article,4,closed,,Journal of Palliative Medicine,Palliative Care and End-of-Life Issues,Medicine,"Public Health, Environmental and Occupational Health",26,2,257,263,0.94,Christian Davis Furman; Christine M. Bridges; Cindy L. Adams; Justin Magnuson; Katherine R. Whitehouse; Kimberly Pate; Pamela Yankeelov; Robert G. Andrew; Salli Whisman,American Board of Emergency Medicine; Baptist Health Louisville; Bluegrass Care Navigators; Integris Health; University of Louisville,Business; Computer science; Economic growth; Economics; Emergency medical services; Family medicine; Finance; Health care; Marketing; Medical education; Medical emergency; Medicine; Nursing; Order (exchange); Programming language; Scope (computer science); Scope of practice; Service (business); Service provider,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4386324633,https://doi.org/10.3138/jvme-2023-0024,Supporting Positive Learning Experiences for Veterinary Students on Rotations in Remote Indigenous Communities in Canada,2023,article,2,closed,,Journal of Veterinary Medical Education,Veterinary Practice and Education Studies,Health Professions,Speech and Hearing,,,,,1.253,Cindy L. Adams; Jean E. Wallace; Mikaela MacGillivray; Susan Kutz; Tessa Baker,Thompson Rivers University; University of Calgary,Biology; Curriculum; Debriefing; Ecology; Indigenous; Medical education; Medicine; Pedagogy; Practicum; Psychology; Veterinary education; Veterinary medicine,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W3215628565,https://doi.org/10.1002/vro2.23,"The use of the roter interaction analysis system in assessing veterinary student clinical communication skills during equine wellness examinations in rural Kentucky, USA: A pilot study",2021,article,4,gold,,Vet record open,Veterinary Practice and Education Studies,Health Professions,Speech and Hearing,8,1,,,0.808,Caroline Ritter; Cindy L. Adams; Elpida Artemiou; Mary Mauldin Pereira; Pedro De Pedro,Calgary Laboratory Services; Ross University School of Veterinary Medicine; University of Calgary; University of Prince Edward Island,Animal welfare; Biology; Communication skills; Context (archaeology); Ecology; Facilitation; Medical education; Medicine; Neuroscience; Observational study; Paleontology; Pathology; Psychology; Veterinary medicine,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4210947527,https://doi.org/10.3389/fvets.2022.812710,Producer Perceptions Toward Prevention and Control of Lameness in Dairy Cows in Alberta Canada: A Thematic Analysis,2022,article,3,gold,,Frontiers in Veterinary Science,Animal Behavior and Welfare Studies,Veterinary,Small Animals,9,,,,0.719,Cindy L. Adams; Karin Orsel; Marlena Knauss,University of Calgary,Animal science; Animal welfare; Biology; Business; Dairy cattle; Dairy industry; Ecology; Environmental health; Food science; Lameness; Medicine; Qualitative research; Social science; Sociology; Surgery; Thematic analysis; Veterinary medicine,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4307239412,https://doi.org/10.1371/journal.pone.0276746,Adherence of those at low risk of disease to public health measures during the COVID-19 pandemic: A qualitative study,2022,article,3,gold,,PLoS ONE,Public Health Policies and Education,Health Professions,General Health Professions,17,10,e0276746,e0276746,0.965,Caroline Ritter; Cindy L. Adams; Claire Zanin; Gemma Postill; Michael Halpin,Dalhousie University; University of Calgary; University of Guelph; University of Prince Edward Island; University of Toronto,Anxiety; Coronavirus disease 2019 (COVID-19); Disease; Environmental health; Gerontology; Infectious disease (medical specialty); Medicine; Nursing; Pandemic; Pathology; Population; Psychiatry; Psychology; Public health; Qualitative research; Social science; Sociology; Thematic analysis; Young adult,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4386256990,https://doi.org/10.3138/jvme-2023-0004,Student and Clinical Educator Perceptions of the Impacts of COVID-19 on Final Year Veterinary Clinical Training in a Distributed Learning Model,2023,article,1,closed,,Journal of Veterinary Medical Education,Veterinary Practice and Education Studies,Health Professions,Speech and Hearing,,,,,0.595,Chantal McMillan; Cindy L. Adams; Joanne Yi; Serge Chalhoub; Sylvia Checkley,Calgary General Hospital; University of Calgary; Virginia Tech,Coronavirus disease 2019 (COVID-19); Disease; Infectious disease (medical specialty); Medical education; Medicine; Mental health; Neuroscience; Pandemic; Pathology; Perception; Psychiatry; Psychology; Qualitative research; Social distance; Social science; Sociology; Thematic analysis; Veterinary medicine,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4392936748,https://doi.org/10.3138/jvme-2023-0081,Exploring the Experiences of Visiting Veterinary Service Providers in Indigenous Communities in Canada: Proposing Strategies to Support Pre-Clinical Preparation,2024,article,0,closed,,Journal of Veterinary Medical Education,Veterinary Practice and Education Studies,Health Professions,Speech and Hearing,,,,,0.0,Cindy L. Adams; Jean E. Wallace; Jordan Woodsworth; Marti Hopson; Shane Bateman; Susan Kutz; Tessa Baker; Yves Rondenay,Centre Hospitalier de l’Université de Montréal; University of Calgary; University of Guelph; University of Prince Edward Island; University of Saskatchewan,Biology; Business; Ecology; Health care; Indigenous; Law; Marketing; Medical education; Medicine; Nursing; Political science; Preparedness; Service (business); Service provider; Veterinary medicine,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4399070547,https://doi.org/10.3138/jvme-2023-0153,Third Year Veterinary Student Academic Encumbrances and Tenacity: Navigating Clinical Skills Curricula and Assessment,2024,article,0,closed,,Journal of Veterinary Medical Education,Veterinary Practice and Education Studies,Health Professions,Speech and Hearing,,,,,0.0,Cindy L. Adams; Darlene Donszelmann; Elpida Artemiou; Saundra H. Sample,Texas Tech University; University of Calgary; Zoetis (United States),Curriculum; Epistemology; Medical education; Medicine; Mental health; Mindset; Pedagogy; Philosophy; Psychology; Psychotherapist; Qualitative research; Social science; Sociology; Thematic analysis,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4402147419,,When veterinarians treat plus-sized pets: Insights for veterinary practice.,2024,article,0,closed,,PubMed,Human-Animal Interaction Studies,"Biochemistry, Genetics and Molecular Biology",Genetics,65,9,920,926,0.0,Amberlee Boulton; Cindy L. Adams; Kathleen Keil; Melanie Rock; Valli-Laurente Fraser-Celin,O'Brien Institute; University of Calgary; University of Guelph,Animal welfare; Biology; Ecology; Medicine; Pet therapy; Veterinary medicine,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4402541883,https://doi.org/10.1093/jas/skae234.107,263 Public perspectives of calf handling: A survey of Canadians,2024,article,0,closed,,Journal of Animal Science,Animal Disease Management and Epidemiology,Agricultural and Biological Sciences,Agronomy and Crop Science,102,Supplement_3,93,94,0.0,Christy Goldhawk; Cindy L. Adams; Edmond A. Pajor,University of Calgary,Business,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4402849813,https://doi.org/10.3390/vetsci11100453,An Expert Consensus Study Regarding Management Practices to Prevent Infectious Mortality in Preweaned Beef Calves in Western Canada,2024,article,0,gold,,Veterinary Sciences,Animal health and immunology,Veterinary,Small Animals,11,10,453,453,0.0,Cindy L. Adams; Claire Windeyer; John Campbell; Sylvia Checkley; V. Sanguinetti,University of Calgary; University of Saskatchewan,Archaeology; Best practice; Computer science; Cornerstone; Delphi; Delphi method; Family medicine; Geography; Herd; Law; Mathematics; Medicine; Operating system; Political science; Statistics; Veterinary medicine,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4388776859,https://doi.org/10.18357/otessaj.2023.3.1.42,Sustaining Positive Change in the Teaching Scholars’ Online Community of Practice,2023,article,0,hybrid,,The Open/Technology in Education Society and Scholarship Association Journal,Higher Education Practises and Engagement,Social Sciences,Education,3,1,1,13,0.0,Andrew Mardjetko; Beth Archer‐Kuhn; Cari Din; Darlene Donszelmann; Heather A. Jamniczky; Lorelli Nowell; Michele Jacobsen,University of Calgary,Community engagement; Community of practice; Computer science; Computer security; Engineering; Engineering ethics; Key (lock); Knowledge management; Law; Leverage (statistics); Machine learning; Online community; Pedagogy; Political science; Public relations; Scholarship; Scholarship of Teaching and Learning; Sociology; Teaching and learning center; Teaching method; Value (mathematics),A5054682662,https://openalex.org/A5054682662
https://openalex.org/W3155922183,https://doi.org/10.3389/fvets.2021.658031,Non-aureus Staphylococci and Bovine Udder Health: Current Understanding and Knowledge Gaps,2021,review,105,gold,,Frontiers in Veterinary Science,Milk Quality and Mastitis in Dairy Cows,Agricultural and Biological Sciences,Agronomy and Crop Science,8,,,,4.166,Christopher D. Luby; Diego B. Nóbrega; Herman W. Barkema; Jeroen De Buck; John R. Middleton; Sarne De Vliegher; Sohail Naushad; Vivian Ha,Canadian Food Inspection Agency; Ghent University; Missouri College; University of Calgary; University of Missouri; University of Saskatchewan,Bacteria; Biology; Gene; Genetics; Mastitis; Medicine; Microbiology; Microbiome; Staphylococcus aureus; Udder; Veterinary medicine; Virulence,A5015254879,https://openalex.org/A5015254879
https://openalex.org/W4224255111,https://doi.org/10.3201/eid2805.212535,"Genomic Epidemiology of Global Carbapenemase-Producing <i>Escherichia coli,</i> 2015–2017",2022,article,72,diamond,,Emerging infectious diseases,Antibiotic Resistance in Bacteria,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,28,5,,,6.831,Barry N. Kreiswirth; Diego B. Nóbrega; Gisele Peirano; Johann Pitout; Liang Chen; Rebekah DeVinney; Thomas J. Finn,Center for Discovery; University of Calgary; University of Guelph; University of Pretoria,Biology; Clade; Environmental health; Epidemiology; Escherichia coli; Gene; Genetics; Genotype; Internal medicine; Klebsiella infections; Klebsiella pneumoniae; Medicine; Metropolitan area; Microbiology; Molecular epidemiology; Multilocus sequence typing; New delhi; Pathology; Phylogenetics; Plasmid; Population; Subclade,A5015254879,https://openalex.org/A5015254879
https://openalex.org/W4366339216,https://doi.org/10.3168/jds.2022-22826,Invited review: Selective treatment of clinical mastitis in dairy cattle,2023,review,38,gold,,Journal of Dairy Science,Milk Quality and Mastitis in Dairy Cows,Agricultural and Biological Sciences,Agronomy and Crop Science,106,6,3761,3778,3.755,A. Lago; D.F. Kelton; David C. Speksnijder; Diego B. Nóbrega; Ellen de Jong; Herman W. Barkema; John P. Kastelic; John R. Middleton; Karin Orsel; Kayley D. McCubbin; P.L. Ruegg; Päivi J. Rajala‐Schultz; S McDougall; S. Godden; Sarne De Vliegher; Simon Dufour; T.J.G.M. Lam; Volker Krömker,Dairy Management; De Gezondheidsdienst voor Dieren; Ghent University; Massey University; Michigan State University; Missouri College; University of Calgary; University of Copenhagen; University of Guelph; University of Helsinki; University of Minnesota; University of Missouri; Université de Montréal; Utrecht University,Animal science; Antimicrobial; Biology; Culling; Dairy cattle; Genetics; Herd; Ice calving; Incidence (geometry); Intensive care medicine; Lactation; Mastitis; Medicine; Microbiology; Optics; Pathology; Physics; Pregnancy; Somatic cell count; Udder; Veterinary medicine,A5015254879,https://openalex.org/A5015254879
https://openalex.org/W3205532724,https://doi.org/10.3389/fpubh.2021.726484,Knowledge Gaps in the Understanding of Antimicrobial Resistance in Canada,2021,review,48,gold,,Frontiers in Public Health,Antibiotic Use and Resistance,Immunology and Microbiology,Applied Microbiology and Biotechnology,9,,,,1.283,Aidan Hollis; André G. Buret; Diego B. Nóbrega; Elissa Rennert‐May; Ellen Goddard; Ellen de Jong; Graham Plastow; Gregory J. Tyrrell; Hans‐Joachim Wieden; Herman W. Barkema; Ian A. Lewis; Jennifer A. Ida; Joan Robinson; John Conly; John P. Kastelic; Karin Orsel; Kathy D. McCoy; Kayley D. McCubbin; Leland J. Jackson; Lorian Hardcastle; Matthias Götte; Myles Leslie; Nicholas J. Ashbolt; R. Michele Anholt; Simon J. G. Otto; Sylvia Checkley; Tim A. McAllister,Agriculture and Agri-Food Canada; Alberta Health Services; Lethbridge Research and Development Centre; Southern Cross University; University of Alberta; University of Calgary; University of Lethbridge,Biology; Business; Computer science; Ecology; Enforcement; Knowledge management; Law; Medicine; Political science; Public relations; Resistance (ecology); Risk analysis (engineering),A5015254879,https://openalex.org/A5015254879
https://openalex.org/W4322493767,https://doi.org/10.1128/spectrum.04144-22,Molecular Epidemiology of Global Carbapenemase-Producing <i>Citrobacter</i> spp. (2015–2017),2023,article,25,gold,,Microbiology Spectrum,Antibiotic Resistance in Bacteria,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,11,2,,,3.731,Diego B. Nóbrega; Gisele Peirano; Johann Pitout; Yasufumi Matsumura,Calgary Laboratory Services; Kyoto University; University of Calgary; University of Pretoria,Antibiotics; Biology; Citrobacter; Enterobacteriaceae; Environmental health; Epidemiology; Escherichia coli; Gene; Genetics; Intensive care medicine; Internal medicine; Medicine; Microbiology; Pathology; Public health,A5015254879,https://openalex.org/A5015254879
https://openalex.org/W4318542642,https://doi.org/10.3168/jds.2022-22395,A scoping review of the testing of bulk milk to detect infectious diseases of dairy cattle: Diseases caused by bacteria,2023,review,18,gold,,Journal of Dairy Science,Microbial infections and disease research,Immunology and Microbiology,Microbiology,106,3,1986,2006,1.242,D.F. Kelton; Diego B. Nóbrega; Julie French,University of Guelph,Animal science; Antibody; Bacteria; Biology; Bulk tank; Dairy cattle; Genetics; Herd; Immunology; Mastitis; Medicine; Microbiology; Mycobacterium; Mycoplasma; Paratuberculosis; Serology; Seroprevalence; Staphylococcus aureus; Veterinary medicine,A5015254879,https://openalex.org/A5015254879
https://openalex.org/W4406399929,https://doi.org/10.3390/microorganisms13010167,Virulence of Bacteria Causing Mastitis in Dairy Cows: A Literature Review,2025,review,1,gold,,Microorganisms,Milk Quality and Mastitis in Dairy Cows,Agricultural and Biological Sciences,Agronomy and Crop Science,13,1,167,167,2.678,Bo Han; Can Zhang; Chuang Xu; Diego B. Nóbrega; Herman W. Barkema; Jian Gao; Jingyue Yang; Xiaofang Tong; Xiaoping Li,China Agricultural University; University of Calgary,Animal science; Bacilli; Bacteria; Biochemistry; Biology; Dairy cattle; Disease; Gene; Genetics; Mastitis; Medicine; Microbiology; Pathogenic bacteria; Pathology; Staphylococcus aureus; Streptococcus; Streptococcus agalactiae; Streptococcus uberis; Virulence,A5015254879,https://openalex.org/A5015254879
https://openalex.org/W4406800610,https://doi.org/10.1128/cmr.00146-22,"Companions in antimicrobial resistance: examining transmission of common antimicrobial-resistant organisms between people and their dogs, cats, and horses",2025,review,1,closed,,Clinical Microbiology Reviews,Bacterial Identification and Susceptibility Testing,"Biochemistry, Genetics and Molecular Biology",Clinical Biochemistry,,,,,1.234,Benjamin Caddey; Diego B. Nóbrega; Herman W. Barkema; S L Fisher,University of Calgary,Antibiotic resistance; Antibiotics; Antimicrobial; Biology; Companion animal; Context (archaeology); Electrical engineering; Engineering; Medicine; Microbiology; Paleontology; Transmission (telecommunications); Veterinary medicine,A5015254879,https://openalex.org/A5015254879
https://openalex.org/W4392301001,https://doi.org/10.3168/jds.2023-24197,"Prevalence and spatial distribution of infectious diseases of dairy cattle in Ontario, Canada",2024,article,7,gold,,Journal of Dairy Science,Animal Disease Management and Epidemiology,Agricultural and Biological Sciences,Agronomy and Crop Science,107,7,5029,5040,7.092,Cynthia Miltenburg; D.F. Kelton; Diego B. Nóbrega; Guy Séguin,"Dairy Farmers of Ontario; Ministry of Agriculture, Food and Rural Affairs; University of Calgary; University of Guelph",Animal science; Biology; Cattle Diseases; Dairy cattle; Distribution (mathematics); Environmental health; Geography; Mathematical analysis; Mathematics; Medicine; Veterinary medicine,A5015254879,https://openalex.org/A5015254879
https://openalex.org/W4390702668,https://doi.org/10.1007/s10096-024-04750-w,Population-based genomic surveillance of Pseudomonas aeruginosa causing bloodstream infections in a large Canadian health region,2024,article,6,closed,,European Journal of Clinical Microbiology & Infectious Diseases,Antibiotic Resistance in Bacteria,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,43,3,501,510,2.005,Deirdre L. Church; Diego B. Nóbrega; Gisele Peirano; Johann Pitout; Yasufumi Matsumara,Calgary Laboratory Services; Kyoto University; University of Calgary,Antibiotic resistance; Antibiotics; Bacteria; Biology; Clade; Environmental health; Gene; Genetics; Genotype; Incidence (geometry); Medicine; Microbiology; Multilocus sequence typing; Optics; Phylogenetics; Physics; Population; Pseudomonas aeruginosa; Serotype,A5015254879,https://openalex.org/A5015254879
